DATAFLOW,LAST UPDATE,freq,animals,month,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1987,9160.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1988,9055.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1989,9353.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1990,9269.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1991,9489.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1992,10137.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1993,10435.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1994,10429.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1995,10727.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1996,10602.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1997,10965.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1998,11365.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,1999,11610.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2000,11695.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2001,12686.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2002,12921.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2003,12624.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2004,13119.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2005,13125.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2006,12615.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2007,13599.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,DK,2008,12186.0,p
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,1993,464.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,1994,447.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,1995,470.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,1996,401.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,1997,301.6,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,1998,330.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,2000,278.1,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,2001,323.1,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,2002,371.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EE,2003,342.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1981,1323.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1982,1120.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1983,1195.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1984,1057.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1985,1101.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1986,1068.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1987,1143.3,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1988,1169.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1989,1151.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1990,1095.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1991,1063.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1992,983.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1993,1092.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1994,1098.3,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,EL,1995,915.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1984,11935.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1985,11329.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1986,14370.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1987,16122.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1988,16722.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1989,16096.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1990,16443.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1991,15948.9,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1992,17444.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1993,18204.1,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1994,18368.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1995,18599.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1996,17944.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1997,18828.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1998,20067.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,1999,20626.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2000,22760.3,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2001,21743.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2002,23114.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2003,23175.1,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2004,25060.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2005,24997.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2006,25066.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2007,26804.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,ES,2008,24639.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FI,1994,1234.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FI,1995,1231.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FI,1996,1454.8,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FI,1997,1456.9,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FI,1998,1556.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FI,1999,1529.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1969,9790.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1970,10751.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1971,11292.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1972,11455.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1973,11087.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1974,11364.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1975,11519.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1976,11146.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1977,10546.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1978,10724.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1979,10686.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1980,11545.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1981,11039.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1982,11230.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1983,11199.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1984,10707.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1985,10451.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1986,11096.5,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1987,11764.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1988,11572.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1989,11615.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1990,12037.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1991,11959.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1992,12451.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1993,13266.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1994,14402.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1995,14853.3,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1996,14875.7,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1997,15379.2,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,FR,1998,16064.4,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1987,8936.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1988,8664.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1989,8553.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1990,8457.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1991,8590.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1992,6175.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1993,5813.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1994,5035.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1995,4669.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1996,5523.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1997,4893.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1998,5117.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,1999,5583.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2000,5042.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2001,4716.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2002,4943.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2003,5097.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2004,4287.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2005,3915.0,
ESTAT:APRO_MT_LSPIG(1.0),27/06/22 23:00:00,A,A3100,M04,THS_HD,HU,2006,3846.0,
